id,description,category,price,receiver,date,party,gifter,gift
1113,Ontvangen 3 toegangskaarten voor Binckbanktour Den Haag. De waarde is onbekend.,uitnodigingen en tickets,,"Kuiken, A.H. (Attje)",2019-08-17,GL-PvdA,nan,3 toegangskaarten voor Binckbanktour Den Haag. De waarde is onbekend
1114,Ontvangen 2 toegangskaarten voor Pinkpop op uitnodiging van de provincie Limburg. De waarde was 95 euro per stuk.,uitnodigingen en tickets,190,"Kuiken, A.H. (Attje)",2017-06-04,GL-PvdA,nan,
1115,"Ontvangen van RTL een toegangskaart/dinerbuffet t.b.v. Carré partijleidersdebat, ter waarde van €100,-. Voor eigen gebruik gehouden.",uitnodigingen en tickets,100.0,"Kuiken, A.H. (Attje)",2017-03-05,GL-PvdA,nan," een toegangskaart/dinerbuffet t.b.v. Carré partijleidersdebat, ter waarde van"
1116,Ontvangen 2 kaarten voor de wedstrijd NAC op uitnodiging van het College van B&W Breda met Bredase Kamerleden. De waarde is onbekend.,uitnodigingen en tickets,,"Kuiken, A.H. (Attje)",2015-02-03,GL-PvdA,nan,2 kaarten voor de wedstrijd NAC op uitnodiging van het College van B&W Breda met Bredase Kamerleden. De waarde is onbekend
1117,"Ontvangen van de Koninklijke Boekverkopersbond het boek ""Nederland"" van Charlotte Dematons ter waarde van €24,50.",boeken,24.5,"Kuiken, A.H. (Attje)",2013-11-14,GL-PvdA,de Koninklijke Boekverkopersbond," de Koninklijke Boekverkopersbond het boek ""Nederland"" van Charlotte Dematons ter waarde van"
1118,"Ontvangen van de Koninklijke Boekverkopersbond het boek ""Weird Things Customers Say in Bookshops"" van Jen Campbell ter waarde van €10,49.",boeken,10.49,"Kuiken, A.H. (Attje)",2013-11-14,GL-PvdA,de Koninklijke Boekverkopersbond," de Koninklijke Boekverkopersbond het boek ""Weird Things Customers Say in Bookshops"" van Jen Campbell ter waarde van"
1119,"Ontvangen van Rai vereniging in het kader van verjaardag een VIPWarmer en ‘L Cotes de Gascogne (wijn) ter waarde van ongeveeer €30,-. Voor eigen gebruik gehouden.",etenswaren en dranken,30.0,"Kuiken, A.H. (Attje)",2013-11-06,GL-PvdA,Rai vereniging in,het kader van verjaardag een VIPWarmer en ‘L Cotes de Gascogne (wijn) ter waarde van
1120,"Ontvangen van Piet Adriaanse het boek ""Principes, rechten en plichten"" ter waarde van €29,95. Voor eigen gebruik gehouden.",boeken,29.95,"Kuiken, A.H. (Attje)",2013-09-26,GL-PvdA,Piet Adriaanse," het boek ""Principes, rechten en plichten"" ter waarde van"
1121,"Ontvangen van Juridische Hogeschool Avans-Fontys een boekenbon ter waarde van €25,- in het kader van deelname aan de adviesraad. Voor eigen gebruik gehouden.",boeken,25.0,"Kuiken, A.H. (Attje)",2013-09-26,GL-PvdA,Juridische Hogeschool Avans-Fontys,een boekenbon ter waarde van
1122,"Ontvangen van C.Le Pair het boek ""De toekomst achter ons"" geschonken door de auteur ter waarde van €29,95. Voor eigen gebruik gehouden.",boeken,29.95,"Kuiken, A.H. (Attje)",2013-09-26,GL-PvdA,C.Le Pair," het boek ""De toekomst achter ons"" geschonken door de auteur ter waarde van"
1123,"Ontvangen van het wetenschappelijk bureau van de Partij voor de Dieren het boek ""Sea the Truth"". De waarde is onbekend en voor eigen gebruik gehouden.",boeken,,"Kuiken, A.H. (Attje)",2013-09-26,GL-PvdA,het wetenschappelijk bureau van," het wetenschappelijk bureau van de Partij voor de Dieren het boek ""Sea the Truth"". De waarde is onbekend"
1124,"Ontvangen van Suzanne de Rooij het boek ""De hbo-jurist, kans of bedreiging"" ter waarde van €27,95. Voor eigen gebruik gehouden.",boeken,27.95,"Kuiken, A.H. (Attje)",2013-09-26,GL-PvdA,Suzanne," de Rooij het boek ""De hbo-jurist, kans of bedreiging"" ter waarde van"
