"Aartsen, A.A. (Thierry) - VVD",
"Ontvangen van de Koninklijke Nederlandse Maatschappij ter bevordering der Pharmacie (KNMP) een fles rode wijn, vanwege presentatie over farmacogenetica. De waarde is onbekend.",15-02-2023
Ontvangen een boeket bloemen vanwege het openen van de tentoonstelling 'Herinneringen in Delftsblauw' in het Watersnoodmuseum. De waarde is onbekend.,04-02-2023
Ontvangen van Omroep Tholen een pen en een sleutelhanger met lampje. De waarde is onbekend.,27-01-2023
Ontvangen tijdens een bezoek aan GGZ-instelling Altrecht twee boeken: ‘Helpen is Moeilijk’ en ‘Sociaal Kapitaal: De identiteit van de sociaal psychiatrisch verpleegkundige’. De waarde is onbekend.,11-01-2023
Ontvangen van de commissaris van de Koning in Groningen het boek 'Een streepje voor' met foto’s van geopereerde hartpatiënten. De waarde is onbekend.,22-12-2022
Ontvangen van Aqua Minerals een circulair flesje bier Ontboezeming. De waarde is onbekend.,22-12-2022
Ontvangen van Elzeviers Weekblad het boek 'Handboek Minister'. De waarde is onbekend.,15-12-2022
"Ontvangen van apotheek A15 tijdens een werkbezoek een houten plank, stukje Bliekenstad kaas met klein potje mosterd, flesje Ogenbliekje kruidenbitter, busje met Gorcumse zoute bollen en blikje met Gorcumse bliekendrop. De waarde is",09-12-2022
onbekend.,
Ontvangen van ANBO het boek 'Vrolijk Verval' van Hedy D’Ancona. De waarde is onbekend.,07-12-2022
Ontvangen van CDA Utrechtse Heuvelrug naar aanleiding van een bijeenkomst een fles rode wijn. De waarde is onbekend.,23-11-2022
"Ontvangen tijdens een petitie aanbieding over ""Meer onderzoek naar (onverklaarde) gezondheidsklachten van vrouwen"" het boek 'Ik ben geen man'. De waarde is onbekend.",22-11-2022
Ontvangen van BPRA vanwege deelname aan gesprek met jonge zorgprofessionals een Sinterklaas chocoladeletter. De waarde is onbekend.,16-11-2022
Ontvangen van de Gemeente Gorinchem vanwege het geven van een gastles tijdens de Week van Respect bij IKC Merweplein chocolaatjes. De waarde is onbekend.,11-11-2022
Ontvangen van Your Surprise uit Zierikzee een gepersonaliseerde (naam) thermosfles. De waarde is onbekend.,07-11-2022
"Ontvangen van de provincie Zeeland bij viering 40 jaar Four Freedoms Award, een linnen tas met boek 40 jaar Four Freedoms Awards en blokkaars. De waarde is onbekend.",14-10-2022
Ontvangen van CDA Senioren Overijssel melkproducten en muesli vanwege presentatie. De waarde is onbekend.,07-10-2022
Ontvangen van Zorg Verzekeraars Nederland het boek 'Little escapes in Nederland' vanwege het geven van een workshop. De waarde is onbekend.,06-10-2022
"Ontvangen van de PVV het boek ""The Satanic Verses"" van Salman Rushdie. De waarde is onbekend.",05-10-2022
Ontvangen van de gemeente Tilburg voedselproducten als dank voor bijdrage aan een workshop. De waarde is onbekend.,05-10-2022
Ontvangen tijdens een werkbezoek aan KNMT het boek 'Tanden en misverstanden (Bizarre verhalen uit een tandartskamer)'. De waarde is onbekend.,16-09-2022
Ontvangen tijdens Profila werkbezoek een warmhouder koffie/thee. De waarde is onbekend.,24-08-2022
Ontvangen van de LHV een ‘Ik wil voor iedereen een huisarts’ mok met snoepjes. De waarde is onbekend.,01-07-2022
Ontvangen van Provincie Zeeland een paraplu. De waarde is onbekend.,27-06-2022
Ontvangen via de Landelijke Huisartsen Vereniging (LHV) het boek ‘Huisarts op recept’ door Marnix van der Leest. De waarde is onbekend.,27-06-2022
Ontvangen van Actiz het boek ‘Ouder worden 2040’. De waarde is onbekend.,13-06-2022
"Ontvangen het boek ‘Geheel meesters’ naar aanleiding van het verzorgen van de module ‘De nieuwe zorg’, Masterclass. De waarde is onbekend.",08-06-2022
Ontvangen tijdens een werkbezoek aan MiFood Brightlands Campus Greenport Venlo drie flesjes Joycie. De waarde is onbekend.,03-06-2022
Ontvangen van Uitgeverij Blauwburgwal het boek 'De linkse kerk'. De waarde is onbekend.,25-05-2022
Ontvangen van Provincie Zeeland ter gelegenheid van 365 dagen jubileum Tweede Kamer een ballpoint met Zeeuws knoopje. De waarde is onbekend.,31-03-2022
Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas. De waarde is onbekend.,31-03-2022
Ontvangen bij een CDA bijeenkomst met ondernemers een pakket met lokale producten uit Sint Philipsland. De waarde is onbekend.,01-03-2022
"Ontvangen het proefschrift ""De oorsprong van filler complicaties"" door Tom S. Decates. De waarde is onbekend.",24-02-2022
"Ontvangen van BoFEB voor het houden van een presentatie het boek ""Toegang tot de collectieve sector"" ter waarde van €55.",18-02-2022
"Ontvangen tijdens een CDA senioren bijeenkomst in Maurik, een cadeausetje jam, mosterd, mango chutney & crackers. De waarde is onbekend.",11-02-2022
Ontvangen het boek 'Kadushi’s Prikkeljaar 2021' van René Zwart. De waarde is onbekend.,04-02-2022
Ontvangen van Metaal Vereniging Nederland een blikje thee met succes gewenst Rutte IV. De waarde is onbekend.,01-02-2022
Ontvangen van Elsevier Weekblad het boek 'Sobibor begon in het Vondelpark'. De waarde is onbekend.,14-01-2022
"Ontvangen van fotograaf Rem van den Bosch bij aankoop van twee van zijn fotowerken drie boeken: ""Zeeuws meisje: Gelijkheid"", ""Zeeuws meisje: Vrijheid"" en ""Zeeuws meisje: Broederschap"". De waarde is onbekend.",13-01-2022
Ontvangen een boeket bloemen n.a.v. een bijdrage aan de Masterclass Nieuwe Zorg. De waarde is onbekend.,18-11-2021
Ontvangen van Radar een USB-stick. De waarde is onbekend.,08-11-2021
"Ontvangen van de Provincie Zeeland het boek ""Zeeuws meisje"". De waarde is onbekend.",02-11-2021
Ontvangen een plak chocola van WNL. De waarde is onbekend.,26-10-2021
Ontvangen een fles wijn van Kassa. De waarde is onbekend.,23-10-2021
Ontvangen van museum De Meestoof (Sint-Annaland) een afbeelding van oud Zeeuws leesplankje en een zakje Zeeuwse babbelaars. De waarde is onbekend.,22-07-2021
Ontvangen van Unitron (IJzendijke) een Puzzelkubus. De waarde is onbekend.,20-07-2021
Geschenk,Datum
Ontvangen van organisatie Masterclass NieuweZorg het boek “De zorg is doodziek”. De waarde is onbekend.,08-07-2021
Ontvangen van AGF Detailhandel Nederland een kist groenten en fruit. De waarde is onbekend.,01-06-2021
Ontvangen van UMCG Groningen Densept gel 500 ml. De waarde is onbekend.,01-06-2021
