"Aartsen, A.A. (Thierry) - VVD",
Bijgewoond de TT van Assen op uitnodiging van het College van B&W van Assen inclusief rondleiding veiligheid en netwerkevent. De waarde is onbekend.,28-06-2008
"Ontvangen van de firma Oce het boek ""Oce, van nature innovatief"" ter waarde van ongeveer €30,--.",09-01-2008
Bijgewoond de Brabantse dag te Heeze op uitnodiging van het College van B&W. De waarde is onbekend.,26-08-2007
Bijgewoond de wedstrijd Willem II-Ajax bijgewoond op uitnodiging van het College B&W Tilburg ter kennismaking met Brabantse Kamerleden. De waarde is onbekend.,29-04-2007
Deelname aan het Chasse Gala op uitnodiging van het College van B&W Breda. De waarde is onbekend.,14-04-2007
"Kuzu, T. (Tunahan) - DENK",
Geschenken,
Geschenk,Datum
"Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 69,95.",31-03-2022
"Ontvangen van LTO Noord (belangenvereniging voor boeren) 9 uien, 7 bospenen en 16 aardappelen. De waarde is onbekend. Voor eigen gebruik gehouden.",15-06-2021
Ontvangen van de heer Jan Helmond (Rijksvertegenwoordiger BES-eilanden) een porseleine schildpad. De waarde is onbekend. Geschonken aan het DENK-museum op het partijkantoor in Rotterdam.,24-10-2018
"Ontvangen van de heer Jahangiri, ambassadeur Iran, een vaas. De waarde is onbekend. Geschonken aan het DENK-museum op het partijkantoor in Rotterdam.",19-06-2018
Ontvangen van Landelijk kenniscentrum psychiatrie en zwangerschap VVV-bonnen t.w.v. €200 i.h.k.v. spreken tijdens symposium. Geschonken aan stichting jarige job.,07-01-2014
"Ontvangen van de Koninklijke Boekverkopersbond het boek ""Nederland"" van Charlotte Dematons ter waarde van €24,50.",14-11-2013
"Ontvangen van de Koninklijke Boekverkopersbond het boek ""Weird Things Customers Say in Bookshops"" van Jen Campbell ter waarde van €10,49.",14-11-2013
Ontvangen van de consul-generaal van Turkije een ingelijste 1e dag enveloppe 400 jaar Nederland-Turkije. De waarde is onbekend en voor eigen gebruik gehouden.,13-03-2013
"Kwint, J.P. (Peter) - SP",
Geschenken,
Geschenk,Datum
"Ontvangen een dagkaart Jera on Air van organisatie vanwege toespraak voor lokale ondersteunersnetwerk van festival, met een geschatte waarde €50",24-06-2022
"Ontvangen twee shirts Elitepauper vanwege deelname aan podcast, ter waarde van €40 euro",17-06-2022
Ontvangen een historisch overzichtsboek Popronde tijdens conferentie bij aftrap van diezelfde Popronde. De waarde onbekend.,11-09-2021
Ontvangen een speciaalbierpakket vanwege deelname aan podcast Zware Metalen. De waarde is onbekend,21-07-2021
Ontvangen een pakket van Eurosonic/Noorderslag ter ondersteuning van livestreams muziekconferentie vanwege deelname. De waarde is onbekend.,13-01-2021
"Ontvangen 2 shirts en EP van band Rites ontvangen na rondleiding schoolklas van 1 van de bandleden, ter waarde van ongeveer €40",21-01-2020
"Ontvangen een kaartje voor Eurosonic/Noorderslag, inclusief 1 hotelovernachting (rest voor eigen rekening), vanwege deelname aan meerdere panels. De waarde is onbekend.",16-01-2020
"Ontvangen een gastenlijstplaats Agnostic Front in Dynamo Eindhoven (via de band), ter waarde van €20",23-11-2019
"Aanwezig geweest bij Zwarte Cross, inclusief plaatjes draaien, met een geschatte waarde van €150,- (weekendkaart).",21-07-2019
"Aanwezig geweest bij Zwarte Cross, inclusief plaatjes draaien, met een geschatte waarde van €150,- (weekendkaart).",20-07-2019
"Aanwezig geweest bij Zwarte Cross, inclusief plaatjes draaien, met een geschatte waarde van €150,- (weekendkaart).",19-07-2019
"Ontvangen een toegangskaart voor Stadsschouwburg Amsterdam ""A Brave New World 2.0"" van Club Guy & Roni wegens overleg met deel van Raad van Toezicht en artistiek leider. De geschatte waarde is €50,-.",20-05-2019
"Ontvangen twee cd's van ""Rise Against"" als bedankje voor deelname aan een discussieavond van JOVD Breda. De geschatte waarde is €35,-.",15-04-2019
Geschenk,Datum
"Ontvangen een toegangskaart voor het ""Among the Angels"" festival Maastricht wegens plaatjes draaien. De waarde is onbekend.",23-03-2019
"Aanwezig geweest bij Eurosonic/Noorderslag, inclusief 1 hotelovernachting, wegens deelname aan diverse paneldiscussies. De waarde is onbekend.",18-01-2019
"Aanwezig geweest bij Eurosonic/Noorderslag, inclusief 1 hotelovernachting, wegens deelname aan diverse paneldiscussies. De waarde is onbekend.",17-01-2019
"Aanwezig geweest bij Eurosonic/Noorderslag, inclusief 1 hotelovernachting, wegens deelname aan diverse paneldiscussies. De waarde is onbekend.",16-01-2019
"Aanwezig geweest bij Lowlands op uitnodiging van voormalig werkgever BKB ter waarde van €185,- (weekendkaart).",19-08-2018
"Aanwezig geweest bij Lowlands op uitnodiging van voormalig werkgever BKB ter waarde van €185,- (weekendkaart).",18-08-2018
"Aanwezig geweest bij Lowlands op uitnodiging van voormalig werkgever BKB ter waarde van €185,- (weekendkaart).",17-08-2018
"Aanwezig geweest bij Into The Grave in verband met deelname aan talkshow Iepen Up, inclusief overnachtingen ter waarde van €55,- (weekendkaart).",11-08-2018
"Aanwezig geweest bij Into The Grave in verband met deelname aan talkshow Iepen Up, inclusief overnachtingen ter waarde van €55,- (weekendkaart).",10-08-2018
"Aanwezig geweest bij Into The Grave in verband met deelname aan talkshow Iepen Up, inclusief overnachtingen ter waarde van €55,- (weekendkaart).",09-08-2018
"Aanwezig geweest bij Zwarte Cross, inclusief plaatjes draaien ter waarde van €125,- (weekendkaart).",15-07-2018
"Aanwezig geweest bij Zwarte Cross, inclusief plaatjes draaien ter waarde van €125,- (weekendkaart).",14-07-2018
"Aanwezig geweest bij Zwarte Cross, inclusief plaatjes draaien ter waarde van €125,- (weekendkaart).",13-07-2018
"Aanwezig geweest bij Zwarte Cross, inclusief plaatjes draaien ter waarde van €125,- (weekendkaart).",12-07-2018
"Aanwezig geweest bij Jera on Air in Ysselsteyn op verzoek organisatie ter waarde van €55,- (dagkaart).",29-06-2018
"Ontvangen via de post de CD De Liedjeskast (Taalprogramma voor laaggeletterden) ter waarde van €10,-.",20-12-2017
"Ontvangen tijdens een werkbezoek en kennismaking met maatschappelijke en educatieve projecten van Feyenoord een kaartje voor de voetbalwedstrijd Feyenoord – Swift ter waarde van €25,-.",25-10-2017
"Ontvangen een vrijkaart voor ADE Green wegens paneldiscussie ter waarde van €35,-.",18-10-2017
"Ontvangen tijdens een werkbezoek aan Epitaph Records drie LP's: Veni Vidi Vicious van The Hives, True Brew van Millencolin en Victory Lap van Propagandhi ter waarde van €60,-.",02-10-2017
Ontvangen een uitnodiging voor de première van de documentaire ‘Kuyt’. De waarde is onbekend.,21-09-2017
"Laan, J.M.P. (Jeanet) van der - D66",
Geschenken,
Geschenk,Datum
"Ontvangen van de KNVB, een entree- en parkeerkaart voor Nederland-Griekenland, inclusief eten, drankjes en promo-materiaal. De waarde is onbekend.",07-09-2023
"Ontvangen van het college Eindhoven, een entree- en parkeerkaart voor de Champions League Finale Barcelona - Wolfsburg, inclusief eten, drankjes en promo-materiaal. De waarde is onbekend.",03-06-2023
"Ontvangen een WK-shirt 2023 en diverse Nieuw-Zeelandse producten waaronder wijn, beker en een kaart tijdens een Keynotespeech over WK vrouwenvoetbal op de ambassade van Australië. De waarde is onbekend.",18-05-2023
Bijgewoond het Benefietdiner op uitnodiging van Fonds gehandicaptensport. De waarde is onbekend.,15-11-2022
Ontvangen van de KNVB kaarten voor een Europese wedstrijd van AZ Alkmaar inclusief drankjes en promo-materiaal en tevens werkbezoek over stadionveiligheid. De waarde is onbekend.,03-11-2022
Ontvangen van het Leontienhuis een jurk voor Prinsjesdag. De waarde is onbekend.,20-09-2022
Ontvangen van MBO Nederland tijdens the power of skills een goodiebag . De waarde is onbekend.,20-09-2022
"Op uitnodiging van de KNVB het bijwonen van de EK voetbalwedstrijd Nederland - Zweden in Sheffield, Engeland. De waarde van de reis, kaarten, eten en oranje promo artikelen zijn onbekend.",09-07-2022
Ontvangen van FC Afkicken (podcast) een Regenboogvoetbalshirt. De waarde is onbekend.,25-06-2022
"Ontvangen een toegangskaart, parkeerkaart, hapjes, drankjes en promotieartikelen voor de opening van de Special Olympics Nationale Spelen 2022. De waarde is onbekend.",10-06-2022
"Aanwezig geweest op uitnodiging van Fonds Gehandicaptensport bij de opening van de Invictus Games inclusief entree, diner, drankjes, hapjes en busvervoer. De waarde is onbekend.",16-04-2022
"Ontvangen van Uitgeverij Noordhoff de 56e editie van De Grote Bosatlas ter waarde van €69,95.",06-04-2022
Ontvangen van dhr. Winters namens Thialf BV het boek 'Langebaan Het Nederlandse schaatsen in 75 legendarische ritten'. De waarde is onbekend.,30-11-2021
Ontvangen van het college B&W van Tilburg 1 kaart voor Willem II - Feyenoord inclusief een parkeerkaart en een hapje en drankje. De waarde is onbekend.,15-08-2021
Ontvangen een speciale editie van de bondsvlag tijdens een werkbezoek aan KNLTB op uitnodiging van directie. De waarde is onbekend.,13-08-2021
"Aanwezig op uitnodiging van NOC-NSF / Team NL bij de teamhuldiging van de Olympiërs. Ontvangen 1 kaart voor Olympic Festival, inclusief een hapje en drankje en een parkeerkaart. De waarde onbekend.",10-08-2021
Ontvangen van de KNVB drie EK tickets voor de wedstrijd Nederland - Oostenrijk. De waarde is onbekend.,17-06-2021
"Lee, T.M.T. (Tom) van der - GL-PvdA",
Geschenken,
Geschenk,Datum
"Ontvangen van de Provincie Groningen en Gemeente Groningen een diner, een voorstelling tijdens het Noorderzonfestival en een overnachting. De waarde is onbekend.",25-08-2023
"Ontvangen van Kees Verhoeven het boek “De democratie crasht” ter waarde van €22,99.",04-07-2023
Ontvangen van de ambassadeur van Bangladesh een doos Amropali Mango (uitgedeeld op de fractie). De waarde is onbekend.,27-06-2023
Ontvangen het boek “Worst Bank Scenario” van Hester Bias en Wink Sabée met een geschatte waarde van €25.,13-03-2023
Ontvangen van de ambassade van Japan 1 kalender voor het jaar 2023. De waarde is onbekend.,16-01-2023
Ontvangen van de vertegenwoordiging van Taiwan 1 agenda voor het jaar 2023. De waarde is onbekend.,16-01-2023
"Ontvangen van de vertegenwoordiging van Taiwan 1 fles whisky met een geschatte waarde van €49,-.",16-01-2023
Ontvangen van de ambassade van Bangladesh 1 agenda voor het jaar. De waarde is onbekend.,16-01-2023
"Ontvangen van de vertegenwoordiger van Taiwan, een bos bloemen. De waarde is onbekend.",07-07-2022
"Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 69,95.",01-04-2022
"Ontvangen van de vertegenwoordiging van Taiwan 1 fles whisky met een geschatte waarde van €47,50.",11-01-2022
Ontvangen van de ambassade van Japan 1 kalender voor het jaar 2022. De waarde is onbekend.,11-01-2022
Ontvangen van de ambassade van Bangladesh: 1 agenda voor het jaar 2022. De waarde is onbekend.,11-01-2022
Ontvangen van de vertegenwoordiging van Taiwan 1 agenda voor het jaar 2022. De waarde is onbekend.,11-01-2022
Bijgewoond op uitnodiging van de Nationale Postcodeloterij een gedeelte van het Goed Geld Gala te Amsterdam. De waarde is onbekend.,04-03-2020
Deelgenomen aan Netbeheer Nederland Woordvoerdersdiner op uitnodiging van Netbeheer Nederland. De waarde is onbekend.,11-11-2019
Bijgewoond op uitnodiging van de Gemeente Breda een bijeenkomst over warmtenetten inclusief lopend buffet en de wedstrijd NAC – De Graafschap. De waarde is onbekend.,21-10-2019
Deelgenomen aan het Netbeheer Nederland woordvoerdersdiner. De waarde is onbekend.,03-06-2019
"Ontvangen van de Provincie Groningen als dank voor zijn werkzaamheden als (in)formateur tijdens de formatie VVV bonnen ter waarde van €300,-.",29-05-2019
"Bijgewoond op uitnodiging van de gemeente Tilburg de voetbalwedstrijd Willem II-Ajax, inclusief een broodje en parkeerticket. De waarde is onbekend.",06-04-2019
Deelgenomen aan het Netbeheer Nederland woordvoerdersdiner. De waarde is onbekend.,03-12-2018
"Deelgenomen aan Exclusief Digidiner, op uitnodiging van Vodafone Ziggo. De waarde is onbekend.",03-07-2018
"Deelgenomen aan VIP-tour High Tech Ontdekkingsroute inclusief vervoer en lunch, op uitnodiging van Brainport Development N.V.. De waarde is onbekend.",09-06-2018
Deelgenomen aan Netbeheer Nederland Woordvoerdersdiner op uitnodiging van Netbeheer Nederland. De waarde is onbekend.,04-06-2018
"Deelgenomen aan Achterhoeks Lentediner, op uitnodiging van Regio Achterhoek. De waarde is onbekend.",16-05-2018
Bijgewoond het Goed Geld Gala op uitnodiging van de Nationale Postcodeloterij te Amsterdam. De waarde is onbekend.,15-02-2018
"Maatoug, S. (Senna) - GL-PvdA",
Geschenken,
Geschenk,Datum
"Ontvangen van wethouder Rik Thijs (GroenLinks, Gemeente Eindhoven) 1 kaart voor de wedstrijd PSV-Ajax en parkeerkaart, ontvangst Philips Stadion. De waarde is onbekend.",23-04-2023
"Ontvangen van Diervriendelijk Nederland en Vegan Today een doos met vriendelijke, plantaardige levensmiddelen. De waarde is onbekend.",06-09-2022
"Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 69,95.",01-04-2022
"Ontvangen tijdens de Klimaat- & Diervriendelijke parlementaire BBQ een diervriendelijk voedselpakket ter waarde van €70,00.",01-07-2021
"Madlener, B. (Barry) - PVV",
Geschenken,
Geschenk,Datum
"Ontvangen van uitgeverij Noordhoff de 56e editie van de Grote Bosatlas met een waarde van €70,-.",20-04-2022
Ontvangen van Rijkswaterstaat tijdens een werkbezoek aan Goeree Overflakkee een ingebonden boek over de Delta Werken. De waarde is onbekend.,23-05-2016
Ontvangen een inhuldigingsmedaille Koning,19-12-2013
"Ontvangen van dhr. Timmermans, Minister van Buitenlandse Zaken, het boek ""De Radetzky Mars"" van Joseph Roth",19-12-2013
"Ontvangen van Boom uitgevers Amsterdam drie boeken: Montesquieu, over de geest van de wetten (waarde €64,50); Mill over de vrijheid (waarde €18,50) en Pascal Bruckner, Tirannie van het berouw (€23,90), Totale waarde €106,90.",30-09-2008
Ontvangen tijdens een werkbezoek in Zeeland een zak aardappelen,04-10-2007
"Maeijer, V. (Vicky) - PVV",
Geschenken,
Geschenk,Datum
Ontvangen de 56e editie van de Grote Bosatlas (Noordhoff). De waarde is onbekend.,05-04-2022
"Marijnissen, L.M.C. (Lilian) - SP",
Geschenken,
Geschenk,Datum
"Ontvangen van Ruud de Wild i.v.m. het programma ""ingelijst"" een schilderij. De waarde is onbekend.",15-02-2021
"Ontvangen van het radioprogramma NPO 1 De Taalstaat een onderscheiding voor het winnen van de titel Taalstaatmeester 2018. Het betreft een handgemaakte penning ter waarde van ongeveer €200,-.",29-12-2018
"Markuszower, G. (Gidi) - PVV",
Geschenken,
Geschenk,Datum
"Ontvangen van uitgeverij Noordhoff de 56e editie van de Grote Bosatlas met een waarde van €70,-.",13-04-2022
"Meijeren, G.F.C. (Gideon) van - FVD",
Geschenken,
Geschenk,Datum
Geen,
"Michon-Derkzen, I.J.M. (Ingrid) - VVD",
Geschenken,
Geschenk,Datum
"Ontvangen van Hester Bais het boek ‘’Worst Bank Scenario’’ ter waarde van €25,-.",13-03-2023
Ontvangen van Valegis Advocaten twee flessen wijn. De waarde is onbekend.,14-02-2023
"Ontvangen van Amsel Boeken het boek ""De Rioolrat""van Pieter Chenestre ter waarde van €21,95.",14-02-2023
"Ontvangen van dhr. S. Schimmelpenninck het boek ‘Sander en de brug’ van Sander Schimmelpenninck ter waarde van €15,-.",24-01-2023
Ontvangen van de voorzitter van de Tweede Kamer twee waxinelichtjeshouders in huisstijl Tweede Kamer. De waarde is onbekend.,17-01-2023
"Ontvangen van Elsevier het boek ‘Handboek Minister: De Lang geheimgehouden instructies aan bewindslieden"", ook wel het ‘blauwe boek’ genoemd van Joppe Gloerich. De waarde is onbekend.",22-12-2022
Ontvangen van de KNVB een voetbal. De waarde is onbekend.,11-12-2022
Ontvangen van KNVB een toegangskaartje voor de voetbalwedstrijd Almere City-ADO Den Haag. De waarde is onbekend.,11-12-2022
"Ontvangen van Rotterdam-The Hague Airport een bol.com cadeaubon ter waarde van € 25,-.",08-12-2022
Ontvangen van Meinesz Holla en partners een fles rode wijn. De waarde is onbekend.,08-12-2022
"Ontvangen van PVV-fractie het boek ‘The Satanic Verses’ ter waarde van € 11,99.",01-11-2022
"Ontvangen van de provincie Zeeland een fotoboek ""Zeeuws Meisje"" ter waarde van €39,95.",31-08-2022
Ontvangen van gemeente Alkmaar een Kaasmand. De waarde is onbekend.,19-08-2022
Ontvangen van de Provincie Zeeland een pen. De waarde is onbekend.,31-03-2022
"Ontvangen van Noordhoff uitgevers de zesenvijftigste editie van de Grote Bosatlas ter waarde van € 69,95.",31-03-2022
